screenName,text,klasa
Wok_Chi_Steve,RT @SirSocks: #Brexit Must we suffer daily bulletins from the commentariat? Like an iceberg two-thirds of this negotiation is hidden below…,negatywna
NBRobinsonart,"RT @BrandusaEu: An English painting for the day #Brexit negotiations start - Europe: A Prophecy. William Blake 1794. @britishmuseum https:…",pozytywna
postcards_48,"RT @lunaperla: As #DavidDavis begins his #Brexit quest to vandalise our economy, take us back to 1970s &amp; make Britain poor again,here's how…",negatywna
Guedella,RT @iainjwatson: David Davis: a detailed paper on Monday and he will brief opposition politicians on privy council terms on #Brexit https:/…,negatywna
visualdecolonee,"RT @BrexitLalaland: @Pete_wack Introducing... The First 50 Days of President Donald J Trump #Brexit #Trump #UKIP https://t.co/LPzBCYPxk7",negatywna
Luci_mac13,RT @stewartbremner: Why do the media &amp; politicians all blindly accept #brexit will happen. Sign the petition – tell them to stop it. https:…,negatywna
JimmyMcCoo,"RT @petertimmins3: Seeing as the UK currently doesn't have a government exactly who or what is David Davis representing to the EU? #brexit",pozytywna
ianberriman,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
browntom1234,RT @acgrayling: Block #Brexit altogether. Why continue with the pointless charade of 'Brexiting but not really'? Just junk the stupid idea…,negatywna
BrexitLalaland,"@Pete_wack Introducing... The First 50 Days of President Donald J Trump #Brexit #Trump #UKIP https://t.co/LPzBCYPxk7",negatywna
Sam_HolmesUK,"RT @TheGreenParty: As #Brexit negotiations begin, here's @CarolineLucas on why we'll fight Theresa May's extreme Brexit https://t.co/MeBwmu…",negatywna
BrexitDebateUK,RT @kimwillsher1: #Brexit Day 1. Taking control. UK caves in to EU demand to agree divorce bill before trade talks https://t.co/IL9Ysm5gyW,negatywna
ManyaZuba,RT @nickreeves9876: Once the British passport was the best in the world. After #Brexit it would be better to have a Latvian or Romanian pas…,pozytywna
frances20387131,"RT @theSNP: As #Brexit negotiations start today read @NicolaSturgeon on why there should be a genuine four-nation approach. https://t.co/J…",pozytywna
Christi80172188,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
BrexitLalaland,RT @SirBrianClough1: #DavidDavis being lined up as Prime Minister by FAR RIGHT #Tories. Get #Brexit negotiations started &amp; hand over to ANO…,pozytywna
BrexitDebateUK,RT @lunaperla: #Brexit won't cure UK's problems. It's like having 1/2 your teeth removed to treat an ingrown toe-nail. Don't put faith in c…,negatywna
BrexitLalaland,@DelHedges THE ONLY PARTY PINNING IT'S COLOURS TO THE MAST ON IMMIGRATION #VOTEUKIP #GE2017 110% #BREXIT ORIGINAL PARTY https://t.co/BqGRpyV,pozytywna
kucharski_edyta,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
BrexitLalaland,RT @DelHedges: Obvious when #Corbyn &amp; #McDonnell both gave different versions of #Brexit to #Starmer Good job it's not them negotiating htt…,pozytywna
Rauwald,The numbers behind #Brexit negotiations https://t.co/FnnC4wTpWv,pozytywna
peter_schijven,"RT @Prospectally2: #Brexit will damage Scotland more than England. We need immigration Erasmus EU funding. Who now is standing up for us…",negatywna
StuartWilksHeeg,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
Thomas_Sparrow,"And in #Germany, number of Britons who became German citizens increased 360% in 2016 #Brexit https://t.co/ZriX7coL7U",pozytywna
jackeparrock,Live shortly on @radionz @NZMorningReport with the latest from today's first day of #Brexit talks in #Brussels.,pozytywna
robpumphrey,"David Davis with determined optimism after day 1. Optimism of a fool? https://t.co/nQ9vTDhZqB #Brexit",pozytywna
gm_stone,RT @sturdyAlex: This press conference presents a significant problem for much of the #Brexit camp. It refuses to play into their chosen nar…,negatywna
SMerlChest,"RT @cliodiaspora: So here we are: 19 June 2017, it's the day #Brexit negotiations start. And here's the UK on its way, strong and stable as…",pozytywna
tomaszjohnson,"#Brexit is gonna be like any summer tournament really isn't it. Massive tabloid hype, talking up the big names. Then flop.",negatywna
GerardElwood,Can this possibly end well for the U.K? #Brexit https://t.co/kWIaJT2SYR,pozytywna
marcelomoina12,"For the first time in a year, I have hope #Brexit won’t actually happen. Of course i still love EU, darling.",pozytywna
HouseofTwitsLib,The latest The HouseofTwitsLib Daily! https://t.co/AmnypWqhA2 Thanks to @LNethsingha @ChrisBramall @LibDemVoter #brexit #finsburypark,pozytywna
BrexitDebateUK,"RT @benoonbenoon: For the first time in a year, I have hope #Brexit won’t actually happen. Of course i still love EU, darling.",pozytywna
GailMeeke,"RT @InFactsOrg: The EU is turning a corner, and #Brexit Britain must factor this in when assessing its options, writes @nnougayrede https:…",pozytywna
juandilego,"RT @Prospectally2: #Brexit will damage Scotland more than England. We need immigration Erasmus EU funding. Who now is standing up for us…",negatywna
rudolfabraham,RT @nickreeves9876: Tory MP Jacob Rees-Mogg: Britain could slash environmental &amp; safety standards 'a very long way' after  #Brexit https://…,pozytywna
BrexitLalaland,@CrumlinFuels RE-BIRTH OF COMMONWEALTH: UK to host Commonwealth summit to strengthen ties post #Brexit https://t.co/9sX3lDIGDZ,pozytywna
BrexitLalaland,@Magritte000 The Globalist EU must be killed off. Hopefully #BREXIT is the first of many exits. #Leave https://t.co/ikhJc0mL0l,negatywna
SandraDunn1955,RT @sturdyAlex: This press conference presents a significant problem for much of the #Brexit camp. It refuses to play into their chosen nar…,negatywna
Peterhous,"RT @Bonn1eGreer: #ToryProxyWar. The rightwing, headbangers of #Brexit would get rid of #TheresaMay if she sacked #DavidDavis.But he's #No…",pozytywna
lee_robson,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
Kittysvinvault,"RT @UKIPNFKN: Keir Starmer: Labour will team up with other parties to block 'extreme' Brexit via @BIUK #Brexit #MayDUP #BrexitExit https://…",negatywna
erichhugo,RT @alexstubb: Brexit negs begin today. Worst outcome: no result.  Possible outcome: soft Brexit. Likely outcome: hard #Brexit. Best outcom…,negatywna
benoonbenoon,"For the first time in a year, I have hope #Brexit won’t actually happen. Of course i still love EU, darling.",pozytywna
rudolfabraham,RT @nickreeves9876: Once the British passport was the best in the world. After #Brexit it would be better to have a Latvian or Romanian pas…,pozytywna
SnowflakeAJ_87,What happened to #TheresaMay being a 'bloody difficult woman' &amp; the UK calling all the shots as the #Brexiteers tol… https://t.co/29UnjwoK2N,negatywna
postcards_48,RT @lunaperla: #Brexit won't cure UK's problems. It's like having 1/2 your teeth removed to treat an ingrown toe-nail. Don't put faith in c…,negatywna
kimwillsher1,#Brexit Day 1. Taking control. UK caves in to EU demand to agree divorce bill before trade talks https://t.co/IL9Ysm5gyW,negatywna
LadyValetta,"RT @petertimmins3: Seeing as the UK currently doesn't have a government exactly who or what is David Davis representing to the EU? #brexit",pozytywna
lacunalingua,RT @PeterKGeoghegan: Worth remembering as #Brexit talks start Tories still not reached agreement w/DUP. DUP v strong negotiators w/strong h…,pozytywna
magritte000,"Pessimists ; Remain Optimists ; Leave #Brexit Churchill https://t.co/zMdK6huask",negatywna
TheresaK301,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
davidscris,"RT @MxSba: #Brexit: 1363 UK citizens have applied for French citizenship last year, up 254% from 2015. @lemondefr exclusive: https://t.co/U…",pozytywna
Jpofgwynedd,"https://t.co/S0xwhFNzqV Go on, #Brexit snowflakes. Bitch that they're being bullies... ��",negatywna
jenfrancephotos,"RT @kimwillsher1: Everybody (except diehard Brexiters) knows what a disaster this is, even the British representatives negotiating #Brexit.…",negatywna
CarlLewthwaite,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
PPete_En,RT @RTUKnews: #Brexit negotiations begin as weakened @theresa_may wrestles with #DUP deal. https://t.co/8Dc6IofEy8,negatywna
CrumlinFuels,Day One of #Brexit negotiations https://t.co/HYOy9XBiQg,pozytywna
mr_oddly,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
cricketandcats,Well that started as badly as we all expected. #brexit https://t.co/fy3IvkquUA,pozytywna
ChrisBMcManus,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
nicolei7,Feels like a different kind of #Brexit today.... https://t.co/q3T8VJSGFV,pozytywna
fcross1959,"RT @DaveWardGS: David Davis during #GE2017 campaign ""We will deliver parallel #Brexit talks"" TODAY EU: You will exit first Davis: OK S…",pozytywna
junkforkaryn,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
paulewoodhead,"RT @TheGreenParty: As #Brexit negotiations begin, here's @CarolineLucas on why we'll fight Theresa May's extreme Brexit https://t.co/MeBwmu…",negatywna
postcards_48,"RT @lunaperla: Well done @IanDunt @postcards_48 @CaptainSKA @Number10cat for telling it like it is in this Bulgarian #Brexit report https:/…",pozytywna
DoreJayne,"RT @azuretone: No Deal should mean NO #Brexit We either negotiate a good deal for the UK or we STAY. NO #WTO tariffs, no hard Brexit.",pozytywna
digitaljournal,"The gifts that started #Brexit show just how big a mountain the U.K. and the EU have to climb https://t.co/qAgGZESCiO",pozytywna
heidifidi,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
LollysMum1,"RT @petertimmins3: Seeing as the UK currently doesn't have a government exactly who or what is David Davis representing to the EU? #brexit",pozytywna
DoctorAngry,RT @carryonkeith: The UK being represented in #Brexit negotiations by David Davis is like England entering the World Cup and fielding Accri…,pozytywna
seb_sutcliffe,Is the UK having a nervous breakdown? #GE2017 #FinsburyPark #Brexit #Manchester #Westminster #LondonBridge #GrenfellTower,negatywna
BrexitLalaland,@Staedtler SO WHERE IS IT ???&gt; how can it be HARD #BREXIT?? PARLIAMENT HAVE TO AGREE ?? https://t.co/S8lAM4gUZX,pozytywna
MegmacPR,RT @sb007ck: Hidden cam watches the start of #Brexit negotiations between Michel Barnier and David Davis https://t.co/GJKYrMMu7k,negatywna
Juliet777777,"#EU threatens #EasternEuropeanMuslim refugee quota non-compliant https://t.co/Fx95gdgHdE #serbia #uk #greece #rum #England #UK #USA #Brexit",pozytywna
GailMeeke,"RT @Open_Britain: .@ChukaUmunna on @BBCRadio2 calls for Britain to be ambitious in #Brexit talks, aiming to keep the economic benefits of t…",pozytywna
Jigsawman2014,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
mrgibsonswife44,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
LauraStevens22,"RT @MxSba: #Brexit: 1363 UK citizens have applied for French citizenship last year, up 254% from 2015. @lemondefr exclusive: https://t.co/U…",pozytywna
Hel_Mc,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
bacpau,"RT @Prospectally2: #Brexit will damage Scotland more than England. We need immigration Erasmus EU funding. Who now is standing up for us…",negatywna
cj980088,@Telegraph Biggest sponger in the land &amp; #Cromwell would have her head off 4 treasonous #Brexit comments. Illustrat… https://t.co/CQnrAUfTtB,negatywna
daviddi67113613,"RT @IrishTimes: Northern Ireland could be ‘most vulnerable’ to a bad #Brexit deal, says Simon Coveney https://t.co/Kh9PqxPPJD",negatywna
ricketts44,"RT @Mina_Andreeva: .@MichelBarnier @DavidDavisMP #Brexit ""A fair deal is possible and better than no deal. I will work for that."" https://t…",pozytywna
robertrobbes,"RT @EU_Commission: Article 50 negotiations just started. #Brexit https://t.co/xxbt5ayrqz",pozytywna
robin_dreamer,"RT @fleetstreetfox: This is how the first day of #Brexit talks went. ""Dream on, mon ami."" https://t.co/sr5xkkU8NN https://t.co/gIQUUhtsIf",pozytywna
top7bestlist,"RT @learningsimplfy: The Impact of Brexit on Student Mobility in the United Kingdom https://t.co/iitvJi7sEi #Brexit #learningsimplify https…",pozytywna
PeterInDevon,Part of the #Brexit problem is when experts don't know the difference between nine tenths and two thirds https://t.co/RelLVjxbPn,pozytywna
Morris2906,RT @cllrjoeporter: Happy Birthday to our fabulous Brexiteer @BorisJohnson!! Can't believe it's almost a year since this #Brexit hero led us…,pozytywna
FilipaFigueira,"Oops, #Davis got his Churchill quote wrong... #Brexit #BrexitTalks https://t.co/joKFNjCn0U",negatywna
IslaCT,"RT @libdemfightbac: Can we now pls now all agree that we were grievously lied to about the process costs &amp; benefits of #Brexit &amp; call a hal…",pozytywna
KyamLeigh,RT @Molly4Bristol: Another #Brexit embarrassment: we've sent an #AllMalePanel to the most important negotiations over our future since WWII…,pozytywna
GrumpyGitGazza,RT @alexstubb: Brexit negs begin today. Worst outcome: no result.  Possible outcome: soft Brexit. Likely outcome: hard #Brexit. Best outcom…,negatywna
EU_Remain_2017,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
marklazarowicz,RT @POLITICOEurope: The EU goes one up on the first day of #Brexit talks https://t.co/SJGU70UPRp,pozytywna
chasfax,@spayrechaynge @falgal @benoonbenoon @jeremycorbyn Many voted in the #EU referendum for reasons other than #Brexit.,pozytywna
LouiseAnkersLD,RT @sturdyAlex: This press conference presents a significant problem for much of the #Brexit camp. It refuses to play into their chosen nar…,negatywna
awstojanovic,RT @BBCkatyaadler: With #Brexit talks finally starting I still hear uk politicians saying you can't be a member of single market and not be…,pozytywna
SirBrianClough1,"As each month goes by, what #Brexiteers voted for gets WATERED DOWN! Instant #Brexit X No divorce payment X Hard Brexit X Low immigration X",pozytywna
lbjfanbigups,RT @Steve_Hooker: #OTD 1970 Edward Heath became PM. For Theresa May and Tories before decisions on security or destroy UK with #Brexit http…,negatywna
PeacePleb,AAV: #DavidDavis has capitulated on day one of the #Brexit negotiations: https://t.co/3vIz9plAUd,pozytywna
roobee_toozdae,RT @TheSatireParty: How are the 'negotiations going Theresa?' #Brexit #ToriesOut #GE2017 #JC4PM #ResignTheresaMay #EndAusterity #DUPCoaliti…,pozytywna
funnyhoney32,RT @TheSatireParty: How are the 'negotiations going Theresa?' #Brexit #ToriesOut #GE2017 #JC4PM #ResignTheresaMay #EndAusterity #DUPCoaliti…,pozytywna
UKIPNFKN,"#UKIP, #NigelFarage &amp; #Kipper Nonsense Magazine! https://t.co/4elcE3YF5m Thanks to @TheNewEuropean @BrexitGremlin @sionsimon #brexit",negatywna
christhegoth,"Britain’s politics &amp; politicians are unhinged ,and the economy is in trouble: https://t.co/Nl7XzekPiq I can't deny this logic. #Brexit",negatywna
colin_tuff,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
FJB19,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
mel_fj,"RT @RCorbettMEP: #brexit would leave a massive hole in public finance https://t.co/ct8ke7ztqq https://t.co/xTToL5Lapd",negatywna
Derek_Murphy,The latest The Derek Murphy Daily! https://t.co/2zAWp9Gjrp #brexit #mufc,pozytywna
EmmaJoPereira,RT @BD_Stew: #Brexit 'will enhance' UK #wildlife laws - @michaelgove https://t.co/4N7gvDmsH7 Fingers crossed! https://t.co/hDx7mhBtux,negatywna
goodclimate,RT @kimwillsher1: Message to UK's #Brexit negotiators: watch my lips; you won't get as good a deal outside the EU as you had in it. Sorry.…,negatywna
Ellyll,RT @markjhooper: #DavidDavis fails dismally to debate the “row of the summer” on Day 1 of #Brexit negotiations  https://t.co/ntzM4S79rv,negatywna
CymrAussie,RT @markjhooper: #DavidDavis fails dismally to debate the “row of the summer” on Day 1 of #Brexit negotiations  https://t.co/ntzM4S79rv,negatywna
CaptHaddock83,"#Trudeau exposed - Like most progressives its always spend, spend, spend. Budget what budget?? #canpol #Anglosphere… https://t.co/UCjfTZP0uo",pozytywna
minxymartin,RT @Obscure_Rebel: #Brexit humiliation on Day 1 of negotiations #MayMustGo #JeremyCorbyn4PM #ForTheManyNotTheFew https://t.co/4iNIWehr0s,negatywna
MikeH_PR,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
LaughingSmurf,"RT @azuretone: No Deal should mean NO #Brexit We either negotiate a good deal for the UK or we STAY. NO #WTO tariffs, no hard Brexit.",pozytywna
McginleyMaire,RT @daithimckay: How unfortunate. As Ireland faces into a Hard Brexit it is led by a Soft Taoiseach. #Brexit #dupcoalition https://t.co/IBf…,negatywna
LordWelby,"RT @uk_rants: #MondayMotivation? It's #Brexit. David Davis &amp; co are there, getting it done. I can smell freedom, can almost taste it. Bring…",negatywna
Collfryn,RT @CER_IanBond: Interesting. Is the awful truth about #Brexit starting to dawn - that the best to hope for is damage limitation? https://t…,pozytywna
wunmithomas,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
gavshields,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
j_sutherland2,"RT @petertimmins3: Seeing as the UK currently doesn't have a government exactly who or what is David Davis representing to the EU? #brexit",pozytywna
rudolfabraham,"RT @UKIPNFKN: Tory-DUP deal 'in breach of Good Friday agreement', claims Sinn Féin via @guardian #Brexit #MayDUP #BrexitExit https://t.co/5…",pozytywna
